,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
responden 265,4,3,2,4,3,3,1,3
responden 266,2,2,3,4,2,3,2,2
responden 267,3,3,2,4,2,3,3,2
responden 268,3,2,1,3,3,3,1,2
responden 269,3,2,1,3,3,3,1,2
responden 270,4,3,4,4,4,4,0,4
responden 271,3,1,3,3,1,3,3,3
responden 272,3,3,3,4,2,3,1,4
responden 273,4,3,3,3,3,3,0,3
responden 274,3,1,1,2,2,2,2,2
responden 275,4,3,3,4,2,4,0,3
responden 276,4,4,3,4,1,2,1,3
responden 277,4,4,4,4,3,4,0,2
responden 278,3,3,3,4,3,4,1,4
responden 279,4,3,3,4,4,3,0,3
responden 280,2,3,3,3,1,0,0,1
responden 281,4,3,3,3,1,3,2,3
responden 282,3,3,1,3,3,3,1,2
responden 283,3,3,3,3,3,3,1,3
responden 284,3,3,2,4,2,3,1,2
responden 285,3,3,3,3,3,3,1,3
responden 286,4,3,2,4,3,4,1,3
responden 287,3,3,3,3,3,3,1,3
responden 288,3,2,2,4,2,3,1,3
responden 289,4,3,2,4,1,4,1,3
responden 290,3,3,1,3,2,4,2,2
responden 291,4,4,4,4,1,1,2,4
responden 292,4,2,2,3,2,3,1,2
responden 293,3,2,2,4,1,3,1,4
responden 294,3,0,0,4,2,3,4,0
responden 295,3,1,1,3,3,3,1,3
responden 296,4,3,4,4,3,4,1,4
responden 297,4,3,3,3,2,2,1,2
responden 298,4,2,3,4,2,3,1,3
responden 299,3,1,1,4,3,3,1,3
responden 300,4,4,1,4,3,3,1,1
responden 301,4,3,1,4,1,4,0,4
responden 302,4,3,3,3,2,1,1,4
responden 303,4,3,4,4,2,3,2,3
responden 304,4,3,3,4,1,3,2,3
responden 305,3,1,1,3,3,3,2,4
responden 306,3,2,1,4,3,3,1,3
responden 307,3,3,1,3,2,2,3,3
responden 308,3,3,1,4,2,4,1,2
responden 309,4,3,1,4,2,3,1,3
responden 310,4,3,1,3,3,3,3,4
responden 311,4,3,3,4,1,4,1,2
responden 312,2,3,2,3,1,3,2,3
responden 313,4,4,4,4,4,4,0,4
responden 314,4,3,2,4,2,3,1,2
responden 315,3,3,2,3,2,3,1,2
responden 316,4,1,2,4,2,3,1,2
responden 317,4,3,1,3,2,3,1,2
responden 318,3,1,1,4,1,3,1,4
responden 319,3,3,1,4,3,3,1,3
responden 320,3,3,3,4,1,3,0,3
